time,cpu_total_pct,cores_of_work,cores_busy,ram_used_mb,ram_pct,cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7
10:38:16,799,7.99,8,8513,27,100,100,100,100,100,100,100,100
10:38:18,797,7.97,8,8517,27,100,100,99,100,100,100,100,100
10:38:20,798,7.98,8,8511,27,100,99,100,100,100,100,100,99
10:38:22,799,7.99,8,8514,27,100,100,100,100,100,100,100,100
10:38:24,799,7.99,8,8513,27,100,100,100,99,100,100,100,100
10:38:26,798,7.98,8,8514,27,100,100,100,100,100,100,100,100
10:38:28,799,7.99,8,8518,27,100,100,100,100,100,100,99,100
10:38:30,800,8.00,8,8505,27,100,100,100,100,100,100,100,100
10:38:32,797,7.97,8,8516,27,100,99,100,100,99,99,100,100
10:38:34,798,7.98,8,8521,27,100,100,100,100,100,100,100,100
10:38:36,800,8.00,8,8507,27,100,100,100,100,100,100,100,100
10:38:38,798,7.98,8,8512,27,100,100,100,100,100,99,100,100
10:38:40,798,7.98,8,8498,27,100,100,100,100,100,100,99,100
10:38:42,800,8.00,8,8507,27,100,100,100,100,100,100,100,100
10:38:44,797,7.97,8,8505,27,100,100,100,100,99,100,100,100
10:38:46,798,7.98,8,8495,27,100,100,99,100,100,100,100,100
10:38:48,798,7.98,8,8496,27,100,100,100,100,100,100,100,100
10:38:50,799,7.99,8,8490,27,100,100,100,100,100,100,100,100
10:38:52,799,7.99,8,8502,27,100,100,100,100,100,100,100,100
10:38:54,798,7.98,8,8492,27,100,100,100,100,100,100,100,100
10:38:56,799,7.99,8,8502,27,100,99,100,100,100,100,100,100
10:38:58,799,7.99,8,8509,27,100,100,100,100,100,100,100,100
10:39:00,798,7.98,8,8509,27,100,100,100,100,100,100,100,100
10:39:02,799,7.99,8,8504,27,100,99,100,100,100,100,100,100
10:39:04,799,7.99,8,8499,27,100,100,99,100,100,100,100,100
10:39:06,798,7.98,8,8507,27,100,100,100,100,100,100,100,99
10:39:08,799,7.99,8,8509,27,100,100,100,100,100,100,100,100
10:39:10,798,7.98,8,8510,27,100,100,99,100,100,100,100,100
10:39:12,799,7.99,8,8522,27,100,100,100,100,100,100,100,100
10:39:14,800,8.00,8,8707,28,100,100,100,100,100,100,100,100
10:39:16,798,7.98,8,8523,27,100,100,100,100,100,100,100,100
10:39:18,799,7.99,8,8522,27,100,100,100,100,100,100,100,100
10:39:20,799,7.99,8,8523,27,100,100,100,100,100,100,100,100
10:39:22,798,7.98,8,8509,27,100,100,100,100,100,99,100,99
10:39:24,799,7.99,8,8514,27,100,100,100,100,100,100,100,100
10:39:26,798,7.98,8,8511,27,100,100,100,100,100,100,100,100
10:39:28,797,7.97,8,8520,27,100,100,100,99,99,100,100,100
10:39:30,798,7.98,8,8494,27,100,100,100,100,100,99,100,100
10:39:32,799,7.99,8,8500,27,99,99,100,100,100,100,100,100
10:39:34,798,7.98,8,8515,27,100,100,100,100,100,100,100,100
10:39:36,798,7.98,8,8510,27,100,100,100,99,100,100,100,100
10:39:38,800,8.00,8,8509,27,100,100,100,100,100,100,100,100
10:39:40,797,7.97,8,8509,27,100,99,100,100,100,100,100,99
10:39:42,798,7.98,8,8496,27,100,100,100,100,100,100,100,100
10:39:44,799,7.99,8,8499,27,100,100,100,100,100,100,100,99
10:39:46,799,7.99,8,8495,27,100,100,100,100,100,100,100,100
10:39:48,798,7.98,8,8501,27,100,100,100,100,100,100,100,100
10:39:50,798,7.98,8,8509,27,100,99,99,100,100,100,100,100
