nohup: ignoring input
>> host monitor: 8 cores, interval=2.0s, duration=7200.0s
>> time      cpu_total%  (of 800)  cores_busy  ram_used_mb  ram%
>> 09:38:23      302   ( 3.0 cores)    1/8         7175      23%
>> 09:38:25      321   ( 3.2 cores)    0/8         7149      23%
>> 09:38:27      303   ( 3.0 cores)    0/8         7165      23%
>> 09:38:29      314   ( 3.1 cores)    0/8         7169      23%
>> 09:38:31      318   ( 3.2 cores)    0/8         7159      23%
>> 09:38:33      309   ( 3.1 cores)    0/8         7148      23%
>> 09:38:35      329   ( 3.3 cores)    0/8         7146      23%
>> 09:38:37      336   ( 3.4 cores)    1/8         7148      23%
>> 09:38:39      311   ( 3.1 cores)    1/8         7148      23%
>> 09:38:41      306   ( 3.1 cores)    0/8         7151      23%
>> 09:38:43      309   ( 3.1 cores)    0/8         7162      23%
>> 09:38:45      388   ( 3.9 cores)    0/8         7150      23%
>> 09:38:47      427   ( 4.3 cores)    1/8         7157      23%
>> 09:38:49      302   ( 3.0 cores)    0/8         7163      23%
>> 09:38:51      311   ( 3.1 cores)    0/8         7149      23%
>> 09:38:53      298   ( 3.0 cores)    1/8         7167      23%
>> 09:38:55      321   ( 3.2 cores)    0/8         7135      23%
>> 09:38:57      312   ( 3.1 cores)    1/8         7135      23%
>> 09:38:59      315   ( 3.2 cores)    0/8         7135      23%
>> 09:39:01      313   ( 3.1 cores)    0/8         7147      23%
>> 09:39:03      310   ( 3.1 cores)    1/8         7152      23%
>> 09:39:05      314   ( 3.1 cores)    0/8         7147      23%
>> 09:39:07      315   ( 3.1 cores)    1/8         7143      23%
>> 09:39:09      329   ( 3.3 cores)    0/8         7136      23%
>> 09:39:11      317   ( 3.2 cores)    0/8         7134      23%
>> 09:39:13      308   ( 3.1 cores)    1/8         7138      23%
>> 09:39:15      328   ( 3.3 cores)    0/8         7122      23%
>> 09:39:17      315   ( 3.2 cores)    1/8         7120      23%
>> 09:39:19      334   ( 3.3 cores)    0/8         7129      23%
>> 09:39:21      315   ( 3.2 cores)    0/8         7132      23%
>> 09:39:23      311   ( 3.1 cores)    1/8         7137      23%
>> 09:39:25      306   ( 3.1 cores)    1/8         7130      23%
>> 09:39:27      309   ( 3.1 cores)    1/8         7120      23%
>> 09:39:29      302   ( 3.0 cores)    0/8         7131      23%
>> 09:39:31      313   ( 3.1 cores)    1/8         7135      23%
>> 09:39:33      305   ( 3.0 cores)    0/8         7144      23%
>> 09:39:35      317   ( 3.2 cores)    0/8         7150      23%
>> 09:39:37      332   ( 3.3 cores)    1/8         7125      23%
>> 09:39:39      316   ( 3.2 cores)    0/8         7132      23%
>> 09:39:41      317   ( 3.2 cores)    0/8         7131      23%
>> 09:39:43      300   ( 3.0 cores)    1/8         7137      23%
>> 09:39:45      325   ( 3.3 cores)    1/8         7131      23%
>> 09:39:47      315   ( 3.1 cores)    1/8         7134      23%
>> 09:39:49      427   ( 4.3 cores)    1/8         7433      24%
>> 09:39:51      348   ( 3.5 cores)    1/8         7120      23%
>> 09:39:53      360   ( 3.6 cores)    0/8         7136      23%
>> 09:39:55      314   ( 3.1 cores)    0/8         7143      23%
>> 09:39:57      315   ( 3.2 cores)    0/8         7131      23%
>> 09:39:59      307   ( 3.1 cores)    0/8         7135      23%
>> 09:40:01      313   ( 3.1 cores)    0/8         7141      23%
>> 09:40:03      306   ( 3.1 cores)    0/8         7149      23%
>> 09:40:05      309   ( 3.1 cores)    1/8         7149      23%
>> 09:40:07      318   ( 3.2 cores)    0/8         7144      23%
